topic,length,AI_model,humanizer,copyleaks_AI,copyleaks_humanized,zerogpt_AI,zerogpt_humanized,sapling_AI,sapling_humanized
4,2,gemini2.5pro,Quillbot,100.0,100.0,100.0,100.0,99.98305876622102,99.85897607127686
4,2,gpt4.0,Quillbot,100.0,100.0,100.0,81.74,99.6420605306193,93.58382015802627
4,3,gemini2.5pro,Quillbot,100.0,100.0,100.0,79.85,99.98822904021146,76.11246704242592
4,3,gpt4.0,Quillbot,100.0,100.0,100.0,80.98,99.97706111827877,73.48715718547105
5,1,gemini2.5pro,Quillbot,100.0,100.0,100.0,73.19,99.99863048208276,99.997983883484
5,1,gpt4.0,Quillbot,100.0,100.0,100.0,100.0,99.94190801194038,99.97271750753498
5,2,gemini2.5pro,Quillbot,100.0,100.0,100.0,97.97,99.7468373783196,99.97320181939509
5,2,gpt4.0,Quillbot,100.0,100.0,100.0,95.16,99.95398333608424,98.88133556096848
5,3,gemini2.5pro,Quillbot,100.0,100.0,100.0,79.73,99.99419169026767,99.96063873100913
5,3,gpt4.0,Quillbot,100.0,100.0,99.22,99.22,99.9877738829467,98.6842474060338
1,1,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,0.0,99.99765834859248,99.35120935101392
1,1,gpt4.0,UndetectableAI,100.0,0.0,100.0,9.64,99.98557865633431,98.29932801487314
1,2,gemini2.5pro,UndetectableAI,100.0,0.0,79.21,0.0,99.98025005442368,57.512799382373046
1,2,gpt4.0,UndetectableAI,100.0,0.0,100.0,8.5,99.98737326935463,74.70556424300025
1,3,gemini2.5pro,UndetectableAI,100.0,0.0,72.07,0.0,79.53530766557417,68.0168845290949
1,3,gpt4.0,UndetectableAI,100.0,0.0,99.99,9.2,99.9904414184458,73.94963727411782
2,1,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,11.73,99.9973562392362,97.4405281583622
2,1,gpt4.0,UndetectableAI,100.0,0.0,100.0,0.0,99.99844966571072,99.99255527599055
2,2,gemini2.5pro,UndetectableAI,100.0,0.0,96.16,3.44,99.99857725170408,48.389343920763054
2,2,gpt4.0,UndetectableAI,100.0,0.0,100.0,15.6,99.99650630196363,99.9115512899363
2,3,gemini2.5pro,UndetectableAI,100.0,0.0,99.99,7.39,99.99668588068631,98.10168051751288
2,3,gpt4.0,UndetectableAI,100.0,100.0,98.61,7.91,99.9929519121748,99.36106379228008
